ticker,price,pe,pb,roe,market_cap,sector,name,mom_12_2,error,market,gics_sector,value_pct,momentum_pct,score
MRVL,210.5399932861328,72.35051,10.120169,0.16028,188969009152.0,Technology,"Marvell Technology, Inc.",1.989654781373292,,S&P 500,Information Technology,0.17107942973523427,0.9857433808553971,0.5784114052953158
PPL,34.619998931884766,21.503105,1.7338609,0.08316,26046367744.0,Utilities,PPL Corporation,-0.0039016887532855593,,S&P 500,Utilities,0.8309572301425662,0.3258655804480652,0.5784114052953157
LNT,69.5199966430664,22.210861,2.3868709,0.11135,18025472000.0,Utilities,Alliant Energy Corporation,0.12157813692517805,,S&P 500,Utilities,0.6619144602851323,0.49490835030549896,0.5784114052953157
KRZ.IR,83.0999984741211,21.145037,2.160911,0.106120005,13207133184.0,Consumer Defensive,KERRY GROUP PLC,0.08084495186633833,,Euronext 100,n/a (Dublin),0.7087576374745417,0.4460285132382892,0.5773930753564154
TROW,113.62000274658203,11.546748,2.2653322,0.19399999,24236947456.0,Financial Services,"T. Rowe Price Group, Inc.",0.09269290653199613,,S&P 500,Financials,0.6924643584521385,0.45824847250509165,0.575356415478615
KEYS,336.9599914550781,54.086678,9.088359,0.18174,57584898048.0,Technology,Keysight Technologies Inc.,0.9523955263540202,,S&P 500,Information Technology,0.19348268839103866,0.9572301425661914,0.575356415478615
ASM.AS,844.2000122070312,38.689278,9.297255,0.26798,41350221824.0,Technology,ASM International N.V.,0.958410890950627,,Euronext 100,n/a (Amsterdam),0.185336048879837,0.9592668024439919,0.5723014256619144
AD.AS,33.349998474121094,13.234126,1.9855918,0.15675999,29403361280.0,Consumer Defensive,KONINKLIJKE AHOLD DELHAIZE N.V.,0.0208542366640585,,Euronext 100,n/a (Amsterdam),0.7637474541751528,0.3665987780040733,0.5651731160896131
SOLV,82.95999908447266,10.704516,2.8971539,0.34794998,14121760768.0,Healthcare,Solventum Corporation,0.16896985527844732,,S&P 500,Health Care,0.5641547861507128,0.5661914460285132,0.565173116089613
SNDK,1258.5799560546875,46.08495,13.520325,0.39297,183752671232.0,Technology,Sandisk Corporation,22.152847871010746,,S&P 500,Information Technology,0.12219959266802449,1.0,0.5610997963340123
VICI,26.540000915527344,10.247105,1.0017741,0.09849,29222598656.0,Real Estate,VICI Properties Inc.,-0.16945230521206223,,S&P 500,Real Estate,0.9816700610997964,0.1384928716904277,0.560081466395112
IBKR,86.0199966430664,35.254097,6.52606,0.24018998,146346639360.0,Financial Services,"Interactive Brokers Group, Inc.",0.4184181934952882,,S&P 500,Financials,0.28105906313645623,0.8370672097759674,0.5590631364562118
NDSN,308.9800109863281,33.223656,5.3761835,0.1714,17215731712.0,Industrials,Nordson Corporation,0.34030988516237004,,S&P 500,Industrials,0.34826883910386963,0.769857433808554,0.5590631364562118
AMD,489.2799987792969,123.55556,11.878323,0.10196,798737367040.0,Technology,"Advanced Micro Devices, Inc.",1.9278114714414927,,S&P 500,Information Technology,0.13645621181262724,0.9816700610997964,0.5590631364562118
AKZA.AS,63.380001068115234,17.037634,2.2384686,0.14142999,10863332352.0,Basic Materials,AKZO NOBEL,0.06812094565712656,,Euronext 100,n/a (Amsterdam),0.6945010183299389,0.4215885947046843,0.5580448065173116
DG,127.44999694824219,17.950705,3.179097,0.1891,28113766400.0,Consumer Defensive,Dollar General Corporation,0.19189149804432626,,S&P 500,Consumer Staples,0.5213849287169043,0.5906313645621182,0.5560081466395113
CSCO,120.87999725341797,40.428093,9.747601,0.25229,476440592384.0,Technology,"Cisco Systems, Inc.",0.7135873255970573,,S&P 500,Information Technology,0.17718940936863548,0.9327902240325866,0.5549898167006111
OMC,82.51000213623047,223.0,2.144621,0.060510002,23515863040.0,Communication Services,Omnicom Group Inc.,0.045083071278215314,,S&P 500,Communication Services,0.7189409368635438,0.3910386965376782,0.554989816700611
GLW,157.17999267578125,72.433174,11.338094,0.16813,135117864960.0,Technology,Corning Incorporated,1.0765856757138645,,S&P 500,Information Technology,0.14460285132382888,0.9653767820773931,0.554989816700611
CBOE,289.1700134277344,22.521029,5.374208,0.26297,30198319104.0,Financial Services,"Cboe Global Markets, Inc.",0.32082178063384803,,S&P 500,Financials,0.35030549898167007,0.7576374745417516,0.5539714867617108
CMCSA,25.170000076293945,7.940063,0.9944293,0.114879996,89319186432.0,Communication Services,Comcast Corporation,-0.21095656302041899,,S&P 500,Communication Services,0.9857433808553971,0.12219959266802444,0.5539714867617108
PWR,667.8400268554688,78.10994,10.412873,0.15337,100405338112.0,Industrials,"Quanta Services, Inc.",0.7671929982214976,,S&P 500,Industrials,0.16293279022403262,0.945010183299389,0.5539714867617108
EXR,149.5399932861328,33.08407,2.3830316,0.06953,33003857920.0,Real Estate,Extra Space Storage Inc,0.07909260981176391,,S&P 500,Real Estate,0.6659877800407332,0.4419551934826884,0.5539714867617108
JNJ,256.9800109863281,29.846693,7.283188,0.25742,619295735808.0,Healthcare,Johnson & Johnson,0.47226174751135264,,S&P 500,Health Care,0.23828920570264767,0.8676171079429735,0.5529531568228105
WY,25.450000762939453,39.15385,1.9440838,0.04974,18342731776.0,Real Estate,Weyerhaeuser Company,-0.006345475928488553,,S&P 500,Real Estate,0.7780040733197556,0.32382892057026474,0.5509164969450102
TECH,71.9000015258789,102.71429,5.3966827,0.053400002,11202786304.0,Healthcare,Bio-Techne Corp,0.3256117815136319,,S&P 500,Health Care,0.3421588594704684,0.7596741344195519,0.5509164969450102
PHIA.AS,22.950000762939453,20.13158,1.959696,0.10154,22431961088.0,Healthcare,KON.PHILIPS N.V.,0.0028111123597094334,,Euronext 100,n/a (Amsterdam),0.7718940936863543,0.32790224032586557,0.5498981670061099
CI,275.25,11.184478,1.7254456,0.16758,72732188672.0,Healthcare,The Cigna Group,-0.051975557648934356,,S&P 500,Health Care,0.8350305498981669,0.26272912423625255,0.5488798370672098
AME,251.3800048828125,37.296738,5.2766585,0.14562,57617051648.0,Industrials,"AMETEK, Inc.",0.3161880077359154,,S&P 500,Industrials,0.35437881873727084,0.7433808553971487,0.5488798370672098
PANW,359.489990234375,312.6,10.5632925,0.048309997,292984356864.0,Technology,"Palo Alto Networks, Inc.",0.7417067978736687,,S&P 500,Information Technology,0.1568228105906314,0.9409368635437881,0.5488798370672098
ZBH,97.19000244140625,23.82108,1.4787147,0.06413,18537797632.0,Healthcare,"Zimmer Biomet Holdings, Inc.",-0.10538969661447983,,S&P 500,Health Care,0.9022403258655805,0.1934826883910387,0.5478615071283096
KRX.IR,93.30000305175781,25.353262,3.73873,0.15353,16790855680.0,Industrials,KINGSPAN GROUP PLC,0.2271278948871538,,Euronext 100,n/a (Dublin),0.4623217922606925,0.6334012219959266,0.5478615071283095
DTE,139.97000122070312,22.077288,2.3974035,0.1103,29126086656.0,Utilities,DTE Energy Company,0.07277353666080022,,S&P 500,Utilities,0.6578411405295316,0.43380855397148677,0.5458248472505092
ADP.PA,115.69999694824219,29.974092,2.6554968,0.12818,11447857152.0,Industrials,ADP,0.10472765221948888,,Euronext 100,n/a (Paris),0.6171079429735234,0.47046843177189407,0.5437881873727087
XYZ,79.0199966430664,149.09435,2.1426826,0.03743,47474819072.0,Technology,"Block, Inc.",0.02009038782500361,,S&P 500,Financials,0.7209775967413442,0.3645621181262729,0.5427698574338086
FSLR,244.13999938964844,24.148369,2.542304,0.18509,26237675520.0,Technology,"First Solar, Inc.",0.08115167856840211,,S&P 500,Information Technology,0.6313645621181263,0.45010183299389,0.5407331975560081
INVH,30.3700008392334,28.12037,1.9809537,0.070539996,18041055232.0,Real Estate,Invitation Homes Inc.,-0.00813462773250373,,S&P 500,Real Estate,0.7657841140529531,0.31568228105906315,0.5407331975560081
MOWI.OL,198.3000030517578,11.146711,2.1036904,0.19492,104561729536.0,Consumer Defensive,MOWI,0.005165199084134597,,Euronext 100,n/a (Oslo),0.7393075356415479,0.3360488798370672,0.5376782077393076
AMAT,527.47998046875,50.236187,17.516104,0.39692003,418797715456.0,Technology,"Applied Materials, Inc.",2.1720122160559736,,S&P 500,Information Technology,0.0835030549898167,0.9898167006109979,0.5366598778004072
TER,384.8900146484375,53.456947,17.521284,0.36465,60173996032.0,Technology,"Teradyne, Inc.",2.117652949403495,,S&P 500,Information Technology,0.08146639511201625,0.9877800407331976,0.5346232179226069
PHM,129.5500030517578,13.593915,1.9078405,0.14901,24677507072.0,Consumer Cyclical,"PulteGroup, Inc.",-0.03440311233856208,,S&P 500,Consumer Discretionary,0.7841140529531568,0.285132382892057,0.5346232179226069
EQR,66.69999694824219,29.513273,2.3819726,0.080240004,25785188352.0,Real Estate,Equity Residential,0.05032190455345331,,S&P 500,Real Estate,0.6680244399185336,0.40122199592668023,0.5346232179226069
BXP,68.80999755859375,37.60109,2.1292856,0.05308,12272644096.0,Real Estate,"BXP, Inc.",0.01011414433839919,,S&P 500,Real Estate,0.7230142566191446,0.34419551934826886,0.5336048879837068
ROST,254.30999755859375,35.320835,12.948575,0.38981998,81577836544.0,Consumer Cyclical,"Ross Stores, Inc.",0.7215824376896274,,S&P 500,Consumer Discretionary,0.12423625254582482,0.9368635437881874,0.530549898167006
CIEN,403.760009765625,136.8678,19.766964,0.15464,57153413120.0,Technology,Ciena Corporation,3.0124506001378926,,S&P 500,Information Technology,0.06517311608961307,0.9918533604887984,0.5285132382892057
CMS,71.19999694824219,21.575756,2.3380291,0.09158,21995075584.0,Utilities,CMS Energy Corporation,0.028989071151473533,,S&P 500,Utilities,0.6843177189409368,0.3727087576374745,0.5285132382892057
LITE,838.0599975585938,144.99307,20.208824,0.22834998,65201065984.0,Technology,Lumentum Holdings Inc.,4.375649541190803,,S&P 500,Information Technology,0.06109979633401219,0.9938900203665988,0.5274949083503055
GD,386.9200134277344,23.421309,3.8964753,0.17803,104683986944.0,Industrials,General Dynamics Corporation,0.20215741202413184,,S&P 500,Industrials,0.4480651731160896,0.604887983706721,0.5264765784114054
MNST,94.16000366210938,45.70874,10.551323,0.26654,92089245696.0,Consumer Defensive,Monster Beverage Corporation,0.5443037572353793,,S&P 500,Consumer Staples,0.16089613034623218,0.890020366598778,0.5254582484725051
LH,316.5299987792969,25.966366,2.9752417,0.11728,25670582272.0,Healthcare,Labcorp Holdings Inc.,0.12111710417774346,,S&P 500,Health Care,0.5560081466395113,0.49287169042769857,0.5244399185336049
FBK.MI,24.56999969482422,22.336363,5.8836203,0.28855,15032397824.0,Financial Services,FINECOBANK,0.31203788271081057,,Euronext 100,n/a (Milan),0.31568228105906315,0.7331975560081466,0.5244399185336048
JCI,154.5500030517578,43.291317,6.943883,0.14332,93617340416.0,Industrials,Johnson Controls International ,0.3801026069287641,,S&P 500,Industrials,0.2525458248472505,0.7963340122199593,0.5244399185336048
APTV,46.29999923706055,21.238531,1.0648574,0.05158,9798030336.0,Consumer Cyclical,Aptiv PLC,-0.289953450428025,,S&P 500,Consumer Discretionary,0.9694501018329938,0.07739307535641547,0.5234215885947047
RI.PA,70.81999969482422,12.646429,1.1517695,0.08565,17833365504.0,Consumer Defensive,PERNOD RICARD,-0.2544959557218064,,Euronext 100,n/a (Paris),0.9592668024439919,0.08757637474541752,0.5234215885947047
WDC,451.5199890136719,18.58107,21.588333,0.85920995,155630878720.0,Technology,Western Digital Corporation,5.800056828006914,,S&P 500,Information Technology,0.048879837067209775,0.9959266802443992,0.5224032586558045
SGO.PA,84.62000274658203,15.699445,1.698924,0.11038999,41454276608.0,Industrials,SAINT GOBAIN,-0.09138916529076957,,Euronext 100,n/a (Paris),0.845213849287169,0.19959266802443992,0.5224032586558045
T,23.709999084472656,7.599359,1.4767065,0.18339,162470068224.0,Communication Services,AT&T Inc.,-0.16878276622083488,,S&P 500,Communication Services,0.9042769857433809,0.14052953156822812,0.5224032586558045
NWSA,29.670000076293945,36.62963,1.9018012,0.06524,16045080576.0,Communication Services,News Corporation,-0.05577833032193136,,S&P 500,Communication Services,0.7861507128309573,0.25661914460285135,0.5213849287169043
CPR.MI,5.932000160217285,25.791304,1.782452,0.06676,7114617344.0,Consumer Defensive,CAMPARI,-0.06875931584642281,,Euronext 100,n/a (Milan),0.8105906313645621,0.23217922606924643,0.5213849287169042
