ticker,fetched_at,price,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,market_cap,peg,mom_12_2,error,currency,avg_volume,country,target_low_price,target_mean_price,target_high_price,recommendation_key,num_analyst_opinions,free_cashflow,total_cash,total_debt,quick_ratio,operating_margin,financial_currency,buyback_avg_3y,div_avg_3y,sector_median_pe,industry_median_pe,industry_count,peer_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,sector_median_pb,analyst_gap,explication,passes_filter
BWP.AX,2026-09-03,3.660000085830689,Real Estate,REIT - Industrial,BWP Trust,6.5357146,0.8595585,0.56,0.13169,1.95101,22.561,2874735104.0,4.11,0.0358543473916053,,AUD,1220663.0,Australia,3.6,3.82393,4.19,hold,9.0,,,,,,,,,16.63,22.786874,16,22.786874,0.7458563535911602,1.0,0.06629834254143646,1.356353591160221,30.90705838121547,17.307952693480665,3.7289487124567593,0.0397132859102749,1.1469057,0.04478959298496976,P/E de 6.5 nettement sous la mediane de l'industrie (22.8) ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,False
HNGE,2026-09-02,90.0999984741211,Healthcare,Health Information Services,"Hinge Health, Inc.",10.96107,20.987654,8.22,0.30382,0.15147,1.709,7270566912.0,,0.8859004503954133,,USD,1976303.0,United States,85.0,106.46667,140.0,buy,15.0,,,,,,,,,23.3923085,38.905096,10,38.905096,0.8548387096774194,0.625,0.06854838709677419,1.3165322580645162,51.21981388709678,421.02687015193555,3.6728843205570607,0.10175650651128215,2.97182475,0.18165007550560408,P/E de 11.0 nettement sous la mediane de l'industrie (38.9) ; ROE (30%) dans le haut du secteur ; dette plus faible que la mediane du secteur,False
6901.TW,2026-09-03,15.199999809265137,Financial Services,Asset Management,Diamond Biofund Inc.,4.4314866,1.0536531,3.43,0.26974002,0.96699995,0.664,12971071488.0,,-0.1850899866456181,,TWD,3972177.0,Taiwan,,,,none,,,,,,,,,,13.980483,14.231216499999999,124,14.231216499999999,0.885,0.96,0.02666666666666667,1.4258333333333333,20.29134285958333,69.59930600837083,3.5789017685346733,0.1924712877471899,1.5007997,,P/E de 4.4 nettement sous la mediane de l'industrie (14.2) ; ROE (27%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
3135.TW,2026-09-03,175.0,Technology,Semiconductors,Goldkey Technology Corporation,7.03659,3.541363,24.87,0.74687,0.14194,87.769,17749452800.0,,4.038734583536349,,TWD,2431677.0,Taiwan,,,,none,,,,,,,,,,24.234068,27.4522255,72,27.4522255,0.9556737588652482,0.6134751773049646,0.8386524822695035,1.1715425531914894,32.16145035305851,799.8552702805653,3.5706015444603727,0.18160768933520066,3.1429535,,P/E de 7.0 nettement sous la mediane de l'industrie (27.5) ; ROE (75%) dans le haut du secteur ; momentum (+404%) superieur au secteur (+18%),False
VNA.DE,2026-09-03,19.0,Real Estate,Real Estate Services,Vonovia SE,4.30839,0.5830904,4.41,0.14558,0.64839,135.1,16120276992.0,3.42,-0.2318773505459032,,EUR,2655129.0,Germany,19.0,27.5625,45.0,buy,16.0,,,,,,,,,16.63,16.7466255,30,16.7466255,0.7900552486187845,0.8066298342541437,0.7237569060773481,1.1657458563535912,19.522309284530387,86.093383944779,3.531230733935737,0.0397132859102749,1.1469057,0.45065789473684204,P/E de 4.3 nettement sous la mediane de l'industrie (16.7) ; ROE (15%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
STNG,2026-09-02,80.22000122070312,Energy,Oil & Gas Midstream,Scorpio Tankers Inc.,4.9981313,1.1827323,16.05,0.24619,0.67157,20.026,4017526016.0,2.46,0.4317482139227282,,USD,770458.0,Monaco,76.0,95.4,120.0,none,10.0,,,,,,,,,15.8420275,16.59792,33,16.59792,0.7866666666666666,0.9933333333333333,0.18666666666666668,1.345,22.324202399999997,358.30344851999996,3.46651013547391,0.44640223635905524,2.0878667,0.189229600452552,P/E de 5.0 nettement sous la mediane de l'industrie (16.6) ; ROE (25%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
GGP.AX,2026-09-03,11.350000381469728,Basic Materials,Gold,Greatland Resources Limited,4.6900826,4.4826226,2.42,0.48358002,0.38165,0.996,7657475072.0,,0.5906041187722666,,AUD,1879385.0,Australia,11.0,13.30417,16.5,buy,12.0,,,,,,,,,18.017094999999998,14.324092,48,14.324092,0.965034965034965,0.916083916083916,0.045454545454545456,1.450174825174825,20.772437611888108,50.26929902076922,3.4290129807255365,0.26868299339449564,2.0752654,0.17217352888557547,P/E de 4.7 nettement sous la mediane de l'industrie (14.3) ; ROE (48%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
TNK,2026-09-02,89.44999694824219,Energy,Oil & Gas Midstream,Teekay Tankers Ltd.,5.2710667,1.4150794,16.97,0.28035998,0.51348996,1.578,3098892800.0,1.1,0.8141219272814553,,USD,392323.0,Bermuda,78.0,93.8,115.0,none,5.0,,,,,,,,,15.8420275,16.59792,33,16.59792,0.8533333333333334,0.94,0.03333333333333333,1.4033333333333333,23.2924144,395.27227236799996,3.4189187909834535,0.44640223635905524,2.0878667,0.048630555619524785,P/E de 5.3 nettement sous la mediane de l'industrie (16.6) ; ROE (28%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
NCZ,2026-09-02,15.15999984741211,Financial Services,Asset Management,Virtus Convertible & Income Fund II,4.258427,0.9545397,3.56,0.17181,4.06295,11.391,288478720.0,,0.231549946556931,,USD,61961.0,United States,,,,none,,,,,,,,,,13.980483,14.231216499999999,124,14.231216499999999,0.6966666666666667,0.9766666666666667,0.10333333333333333,1.3166666666666667,18.737768391666666,66.70645547433334,3.4001620148908165,0.1924712877471899,1.5007997,,P/E de 4.3 nettement sous la mediane de l'industrie (14.2) ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,False
BLBD,2026-09-03,62.06499862670898,Industrials,Farm & Heavy Construction Machinery,Blue Bird Corporation,7.34497,3.0019348,8.45,0.64286005,0.17479,17.675,1964145408.0,,0.0104257566771952,,USD,505453.0,United States,82.0,89.125,95.0,strong_buy,8.0,-10407500.0,116824000.0,115751000.0,0.544,0.12096,USD,-20302666.666666668,0.0,21.574627999999997,22.807004999999997,22,22.807004999999997,0.9737609329446064,0.8600583090379009,0.16326530612244897,1.411078717201166,32.182479358600574,271.9419505801748,3.38156701196071,0.12008745507775205,2.37543655,0.43599455364599105,P/E de 7.3 nettement sous la mediane de l'industrie (22.8) ; ROE (64%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
