ticker,name,sector,industry,pilier_bilan,pilier_rendement_capital,pilier_cash,pilier_marges,pilier_discipline,note_qualite_20,note_qualite_n_piliers,note_qualite_low_confidence,pilier_valorisation,pilier_momentum,note_perspective_20,note_perspective_n_piliers,note_perspective_low_confidence
ILU.AX,Iluka Resources Limited,Basic Materials,Other Industrial Metals & Mining,6.3,1.3,,0.2,,2.6,3,False,,6.4,6.4,1,True
IMD.AX,Imdex Limited,Industrials,Farm & Heavy Construction Machinery,12.2,10.3,,16.5,,13.0,3,False,10.2,8.3,9.2,2,False
JBH.AX,JB Hi-Fi Limited,Consumer Cyclical,Specialty Retail,12.9,17.1,,8.4,,12.8,3,False,12.6,1.1,6.8,2,False
JHX.AX,James Hardie Industries plc,Basic Materials,Building Materials,5.2,5.9,,6.2,,5.8,3,False,0.0,14.1,7.0,2,False
L1G.AX,L1 Group Limited,Financial Services,Asset Management,18.7,19.9,,18.4,,19.0,3,False,1.6,,1.6,1,True
LLC.AX,Lendlease Group,Real Estate,Real Estate - Diversified,9.2,0.6,,1.5,,3.8,3,False,,0.3,0.3,1,True
LNW.AX,"Light & Wonder, Inc.",Consumer Cyclical,Gambling,0.2,19.0,,12.9,,10.7,3,False,2.4,10.7,6.6,2,False
LOV.AX,Lovisa Holdings Limited,Consumer Cyclical,Specialty Retail,0.7,19.7,,14.8,,11.7,3,False,0.0,2.5,1.2,2,False
LSF.AX,L1 Long Short Fund Limited,Financial Services,Asset Management,,18.3,,17.9,,18.1,2,True,20.0,16.9,18.4,2,False
LTR.AX,Liontown Limited,Basic Materials,Other Industrial Metals & Mining,10.6,10.0,,14.0,,11.5,3,False,0.0,10.0,5.0,2,False
LYC.AX,Lynas Rare Earths Limited,Basic Materials,Other Industrial Metals & Mining,16.3,9.0,,16.3,,13.9,3,False,0.0,3.5,1.8,2,False
MCY.AX,Mercury NZ Limited,Utilities,Utilities - Renewable,17.9,4.4,,8.8,,10.4,3,False,7.3,6.3,6.8,2,False
MEZ.AX,Meridian Energy Limited,Utilities,Utilities - Renewable,18.6,1.7,,3.2,,7.8,3,False,0.0,2.9,1.4,2,False
MFF.AX,MFF Capital Investments Limited,Financial Services,Asset Management,19.6,3.2,,18.5,,13.8,3,False,2.4,9.1,5.8,2,False
MFG.AX,Magellan Financial Group Limited,Financial Services,Asset Management,19.4,5.0,,17.2,,13.9,3,False,6.7,3.5,5.1,2,False
MGR.AX,Mirvac Group,Real Estate,REIT - Diversified,17.0,10.1,,11.7,,12.9,3,False,10.1,3.1,6.6,2,False
MIN.AX,Mineral Resources Limited,Basic Materials,Other Industrial Metals & Mining,1.8,18.0,,14.3,,11.4,3,False,16.4,15.8,16.1,2,False
MND.AX,Monadelphous Group Limited,Industrials,Engineering & Construction,16.8,16.4,,6.8,,13.3,3,False,5.9,13.9,9.9,2,False
MPL.AX,Medibank Private Limited,Financial Services,Insurance - Specialty,16.4,18.0,,3.5,,12.6,3,False,0.0,5.0,2.5,2,False
MQG.AX,Macquarie Group Limited,,,,,,,,,0,True,,,,0,True
MSB.AX,Mesoblast Limited,Healthcare,Biotechnology,11.8,6.5,,1.4,,6.6,3,False,,7.0,7.0,1,True
MTS.AX,Metcash Limited,Consumer Defensive,Food Distribution,5.4,14.7,,4.3,,8.1,3,False,19.3,3.0,11.2,2,False
MXT.AX,Metrics Master Income Trust,Financial Services,Asset Management,,,,1.3,,1.3,1,True,14.4,5.6,10.0,2,False
NAB.AX,National Australia Bank Limited,Financial Services,Banks - Diversified,,,,11.7,,11.7,1,True,4.4,2.2,3.3,2,False
NEM.AX,Newmont Corporation,Basic Materials,Gold,14.5,17.4,,18.1,,16.7,3,False,8.3,12.2,10.2,2,False
NHC.AX,New Hope Corporation Limited,Energy,Thermal Coal,17.7,5.9,,10.6,,11.4,3,False,0.0,12.5,6.2,2,False
NHF.AX,nib holdings limited,Financial Services,Insurance - Specialty,14.5,13.7,,2.8,,10.3,3,False,0.0,2.7,1.4,2,False
NIC.AX,Nickel Industries Limited,Basic Materials,Other Industrial Metals & Mining,16.4,18.8,,18.9,,18.0,3,False,,9.0,9.0,1,True
NSR.AX,,,,,,,,,,0,True,,,,0,True
NWH.AX,NRW Holdings Limited,Industrials,Conglomerates,7.1,16.3,,5.6,,9.7,3,False,0.0,17.9,9.0,2,False
NWL.AX,Netwealth Group Limited,Technology,Software - Application,7.5,17.7,,14.8,,13.3,3,False,0.0,2.2,1.1,2,False
NWS.AX,News Corporation,Communication Services,Entertainment,13.6,8.6,,9.0,,10.4,3,False,4.3,7.7,6.0,2,False
NXT.AX,NEXTDC Limited,Technology,Information Technology Services,6.0,4.6,,15.3,,8.6,3,False,0.0,3.6,1.8,2,False
ORA.AX,Orora Limited,Consumer Cyclical,Packaging & Containers,11.1,0.8,,0.4,,4.1,3,False,,3.0,3.0,1,True
ORG.AX,Origin Energy Limited,Utilities,Utilities - Diversified,17.8,16.8,,9.1,,14.6,3,False,15.2,3.8,9.5,2,False
ORI.AX,Orica Limited,Basic Materials,Specialty Chemicals,3.9,8.3,,6.8,,6.3,3,False,0.0,6.0,3.0,2,False
PDI.AX,PDI Gold Limited,,,,,,,,,0,True,,,,0,True
PDN.AX,Paladin Energy Ltd,Energy,Uranium,16.9,2.9,,4.3,,8.0,3,False,0.0,9.5,4.8,2,False
PLS.AX,PLS Group Limited,Basic Materials,Other Industrial Metals & Mining,11.4,13.2,,16.7,,13.8,3,False,0.0,18.9,9.4,2,False
PME.AX,Pro Medicus Limited,Healthcare,Health Information Services,19.3,19.5,,20.0,,19.6,3,False,0.0,1.0,0.5,2,False
PMV.AX,Premier Investments Limited,Consumer Cyclical,Apparel Retail,15.7,13.3,,19.5,,16.2,3,False,14.1,1.7,7.9,2,False
PPT.AX,Perpetual Limited,Financial Services,Asset Management,9.5,2.1,,3.8,,5.1,3,False,,6.0,6.0,1,True
PRN.AX,Perenti Limited,Basic Materials,Other Industrial Metals & Mining,11.1,7.8,,4.7,,7.9,3,False,0.3,1.3,0.8,2,False
PRU.AX,Perseus Mining Limited,Basic Materials,Gold,19.7,15.8,,17.0,,17.5,3,False,9.2,11.2,10.2,2,False
PXA.AX,PEXA Group Limited,Technology,Software - Application,11.3,4.7,,3.1,,6.4,3,False,0.0,0.3,0.2,2,False
QAN.AX,Qantas Airways Limited,Industrials,Airlines,0.3,19.8,,7.5,,9.2,3,False,8.1,4.0,6.0,2,False
QBE.AX,QBE Insurance Group Limited,Financial Services,Insurance - Property & Casualty,11.1,15.5,,4.9,,10.5,3,False,11.9,8.5,10.2,2,False
QUB.AX,Qube Holdings Ltd,Industrials,Integrated Freight & Logistics,5.9,5.7,,5.7,,5.8,3,False,0.0,,0.0,1,True
RDX.AX,Redox Limited,Basic Materials,Chemicals,16.6,14.3,,10.5,,13.8,3,False,10.8,9.4,10.1,2,False
REA.AX,REA Group Limited,Communication Services,Internet Content & Information,18.3,18.1,,18.1,,18.2,3,False,0.0,4.8,2.4,2,False
REG.AX,Regis Healthcare Limited,Healthcare,Medical Care Facilities,,,,10.9,,10.9,1,True,7.7,8.0,7.8,2,False
REH.AX,Reece Limited,Industrials,Industrial Distribution,9.6,6.3,,5.3,,7.1,3,False,2.5,16.9,9.7,2,False
RHC.AX,Ramsay Health Care Limited,Healthcare,Medical Care Facilities,1.5,9.8,,9.6,,7.0,3,False,0.0,15.6,7.8,2,False
RIO.AX,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,11.0,15.4,,15.5,,14.0,3,False,10.0,14.3,12.2,2,False
RMS.AX,Ramelius Resources Limited,Basic Materials,Gold,18.3,7.1,,12.9,,12.8,3,False,0.0,4.4,2.2,2,False
RSG.AX,Resolute Mining Limited,Basic Materials,Gold,18.0,18.7,,15.6,,17.4,3,False,14.8,11.2,13.0,2,False
RWC.AX,Reliance Worldwide Corporation Limited,Industrials,Building Products & Equipment,14.3,2.3,,2.8,,6.5,3,False,0.0,7.8,3.9,2,False
S32.AX,South32 Limited,Basic Materials,Other Industrial Metals & Mining,13.9,11.5,,15.1,,13.5,3,False,11.7,18.1,14.9,2,False
SCG.AX,Scentre Group,Real Estate,REIT - Retail,12.9,13.9,,18.0,,14.9,3,False,20.0,5.4,12.7,2,False
SDF.AX,Steadfast Group Limited,Financial Services,Insurance Brokers,6.7,9.8,,5.7,,7.4,3,False,14.3,4.4,9.4,2,False
