ticker,name,sector,market
KR,Kroger,Consumer Staples,S&P 500
LHX,L3Harris,Industrials,S&P 500
LH,Labcorp,Health Care,S&P 500
LRCX,Lam Research,Information Technology,S&P 500
LVS,Las Vegas Sands,Consumer Discretionary,S&P 500
LDOS,Leidos,Industrials,S&P 500
LEN,Lennar,Consumer Discretionary,S&P 500
LII,Lennox International,Industrials,S&P 500
LLY,Lilly (Eli),Health Care,S&P 500
LIN,Linde plc,Materials,S&P 500
LYV,Live Nation Entertainment,Communication Services,S&P 500
LMT,Lockheed Martin,Industrials,S&P 500
L,Loews Corporation,Financials,S&P 500
LOW,Lowe's,Consumer Discretionary,S&P 500
LULU,Lululemon Athletica,Consumer Discretionary,S&P 500
LITE,Lumentum,Information Technology,S&P 500
LYB,LyondellBasell,Materials,S&P 500
MTB,M&T Bank,Financials,S&P 500
MPC,Marathon Petroleum,Energy,S&P 500
MAR,Marriott International,Consumer Discretionary,S&P 500
MRSH,Marsh McLennan,Financials,S&P 500
MLM,Martin Marietta Materials,Materials,S&P 500
MRVL,Marvell Technology,Information Technology,S&P 500
MAS,Masco,Industrials,S&P 500
MA,Mastercard,Financials,S&P 500
MKC,McCormick & Company,Consumer Staples,S&P 500
MCD,McDonald's,Consumer Discretionary,S&P 500
MCK,McKesson Corporation,Health Care,S&P 500
MDT,Medtronic,Health Care,S&P 500
MRK,Merck & Co.,Health Care,S&P 500
META,Meta Platforms,Communication Services,S&P 500
MET,MetLife,Financials,S&P 500
MTD,Mettler Toledo,Health Care,S&P 500
MGM,MGM Resorts,Consumer Discretionary,S&P 500
MCHP,Microchip Technology,Information Technology,S&P 500
MU,Micron Technology,Information Technology,S&P 500
MSFT,Microsoft,Information Technology,S&P 500
MAA,Mid-America Apartment Communities,Real Estate,S&P 500
MRNA,Moderna,Health Care,S&P 500
TAP,Molson Coors Beverage Company,Consumer Staples,S&P 500
MDLZ,Mondelez International,Consumer Staples,S&P 500
MPWR,Monolithic Power Systems,Information Technology,S&P 500
MNST,Monster Beverage,Consumer Staples,S&P 500
MCO,Moody's Corporation,Financials,S&P 500
MS,Morgan Stanley,Financials,S&P 500
MOS,Mosaic Company (The),Materials,S&P 500
